issue_key,commit_id
HIVE-1142,8ad8e0ecabd1c1dee1d028253a7851b4df797093
HIVE-1167,159b42550d2fe35679f287e1198b7379782a05ae
HIVE-1174,81fc87f702e443dc524ec4cbfaccb3d2a3d953f9
HIVE-1176,1403db9c949c26e51637f7b65da34eefaa460861
HIVE-1182,61fc02a2834078c7cf8e418d845e6004c69da97d
HIVE-1183,8d81d72806acae9b1dcf79d659f4382fc33aec26
HIVE-1184,ca2a664460c3e04204b7d9f136a74ae7addd8321
HIVE-1185,138a1d5244e6044467180de225b3a1c80ce7b407
HIVE-1195,887e6b1f89c9f736d60c4a93f6dfe8c64f1083ad
HIVE-1200,34d70e09b2886149bb1f9e0cf88b07bd563fb452
HIVE-1203,ff0577caa1ff2d2f2e59fcf973f6b423f2448eaf
HIVE-1204,7fa7b5f231ab79d944779deec8119666f92bd5ef
HIVE-1207,ff3f6853a2aeca3bb2b1ad8e66c1739b85f9c342
HIVE-1218,79134c571d823bfa01214ab223387dd20bcaccf4
HIVE-1242,e3cba1e5bd884ebbacf720801128372be34d0996
HIVE-1247,b7f6edef34b4c060dbcb4f44da63a8c8f3c03a0b
HIVE-1252,3f919bda93d9c7b927ac3f34be38ea4c865a00fc
HIVE-1253,0227b4bfdd2b886ae8f2ed63cd7a490bcb49523d
HIVE-1257,22dc49f27539a12a7cfe478e92f6eaa208724b66
HIVE-1258,dae58ce3f446911e9a59ac061f47cccc326d55ef
HIVE-1261,04333cc67d8d4885ae27c4debb0a777eef62aa08
HIVE-1268,e173a00e55aa9186ecaf3ad57d517f46f0437401
HIVE-1271,8a72339b4013f3498353e327da145b18d3396eac
HIVE-1273,b24ab36183359e66120f58a13c4ac7f37f5130bd
HIVE-1274,4d1dc716b70024b505702805dfd45920a6b159ad
HIVE-1275,3508ec7959946774671a3b6f15ca18971084917a
HIVE-1277,1448f4ac6fff085149ac50cd64a1a6e3c8e3afb7
HIVE-1281,07fbee96cd8f712b415fdd9c9944eb2663aaee5c
HIVE-1286,5ed8ec0ffe9bc55ddd5dd7b1e2189dfd3a36acdf
HIVE-1290,cf1e6549e552bf76606e287dd3f223806feba1ae
HIVE-1291,998f3320bc5538d2e6b2e4e19e611c3a8d17bc56
HIVE-1294,3ec867dadc68a92bbc5505862e8fe6ede10954f6
HIVE-1298,bb0521adb78046da7cdcd4bc197af29301e60e5e
HIVE-1302,72ca978260a7219a9da637047ad0aa64193597ba
HIVE-1305,9a77675d35c35b6595b407b4925c80b8d964e6ff
HIVE-1308,e70b26900e4a5ad178a4138062456739ad98672a
HIVE-1311,ce4cb40fd95ffc635374e074be1f9f8650dd57d4
HIVE-1312,1be502fb31b32b6e3eb466669959ab5c3f042515
HIVE-1315,a3f3b623f9b565bdb0557493a8e2564b765da200
HIVE-1317,6267520a50ba8c12ae5cee8fb27a6746376a21c6
HIVE-1320,7b7b8fad21b971b10a1874eb298cdcc43d49c7b7
HIVE-1321,e0287125ac4906b00bc6fea427e25968104bed6f
HIVE-1322,02db059601f0ac97a706405561482dcc2fd9adb7
